name,price,description,link,photo link
Ноутбук ASUS VivoBook 15 X542UF-DM208 (90NB0IJ2-M04000),от 18 699 грн. ,"Тип - Ноутбук
Тип процессора - Intel Core i5-8250U
Частота - 1,6-3,4 ГГц
Диагональ экрана - 15.6 дюйм.
Разрешение экрана - 1920x1080 пикс.",https://price.ua/asus/asus_vivobook_15_x542uf-dm208_90nb0ij2-m04000/catc839t14m3705493.html,https://i4.price.ua/images/model/839/3705493/2/1/type4/asus_vivobook_15_x542uf-dm208_90nb0ij2-m04000_4944832.jpg
Ноутбук Lenovo FLEX 4 15 (80VE000EUS),от 19 080 грн. ,"Тип - Ноутбук
Тип процессора - Intel Core i5-7200U
Диагональ экрана - 15.6 дюйм.
Разрешение экрана - 1920x1080 пикс.
Объем видеопамяти - 2048 Мб",https://price.ua/lenovo/lenovo_flex_4_15_80ve000eus/catc839t14m3132925.html,https://i1.price.ua/images/model/839/3132925/2/1/type4/lenovo_flex_4_15_80ve000eus_4634591.jpg
Ноутбук Acer Aspire 3 A315-51 (NX.GS6EU.016),10 499 грн. ,"Тип - Ноутбук
Тип процессора - Intel Core i3-7020U
Частота - 2,3 ГГц
Диагональ экрана - 15.6 дюйм.
Разрешение экрана - 1920x1080 пикс.",https://price.ua/main/gate.html?hash=YTo0OntzOjE6InUiO2E6OTp7czoxOiJ3IjtzOjI6IjIxIjtzOjE6InMiO2k6Mjg0O3M6MToiciI7aTowO3M6MToidCI7aTo0O3M6MToicCI7aTo0O3M6MToieSI7aTZDE3ZjUwMjJkMGQ3NTAxYjY0NDcxZmJmowO3M6MToibSI7aToyO3M6MToiZiI7aToyO3M6MToiZSI7aTo1O31zOjE6InkiO3M6MTA6IjQ5MjQ2MTYzNjIiO3M6MToiYyI7aToxO3M6MzoiY2pzIjtpOjE7fQ%3D%3D,https://i2.price.ua/images/model/839/3521967/2/1/type4/acer_aspire_3_a315-51_nx_gs6eu_016_4733979.jpg
Ноутбук HP 17-x051nr (W2M98UA),11 310 грн. ,"Тип - Ноутбук
Тип процессора - Intel Core i3-6100U
Частота - 2.3 ГГц
Диагональ экрана - 17.3 дюйм.
Разрешение экрана - 1600x900 пикс.",https://price.ua/main/gate.html?hash=YTo0OntzOjE6InUiO2E6OTp7czoxOiJ3IjtzOjI6IjIxIjtzOjE6InMiO2k6Mjg0O3M6MToiciI7aTowO3M6MToidCI7aTo0O3M6MToicCI7aTo0O3M6MToieSI7aTb2b2d263ef9eae2413442fefc87851deowO3M6MToibSI7aToyO3M6MToiZiI7aToyO3M6MToiZSI7aTo1O31zOjE6InkiO3M6MTA6IjQ5MDk0NDMwNTYiO3M6MToiYyI7aToxO3M6MzoiY2pzIjtpOjE7fQ%3D%3D,https://i2.price.ua/images/model/839/3710372/2/1/type4/hp_17-x051nr_w2m98ua_4945541.jpg
Ноутбук ASUS VivoBook Max A541UA (A541UA-GQ1272T),12 649 грн. ,"Тип - Ноутбук
Тип процессора - 7200U
Частота - 2,5-3,1 ГГц
Диагональ экрана - 15.6 дюйм.
Разрешение экрана - 1366x768 пикс.",https://price.ua/main/gate.html?hash=YTo0OntzOjE6InUiO2E6OTp7czoxOiJ3IjtzOjI6IjIxIjtzOjE6InMiO2k6Mjg0O3M6MToiciI7aTowO3M6MToidCI7aTo0O3M6MToicCI7aTo0O3M6MToieSI7aT183a6c9890f2ae74e41bc6698bf814d3owO3M6MToibSI7aToyO3M6MToiZiI7aToyO3M6MToiZSI7aTo1O31zOjE6InkiO3M6MTA6IjQ4MzM0NzAwNjAiO3M6MToiYyI7aToxO3M6MzoiY2pzIjtpOjE7fQ%3D%3D,https://i2.price.ua/images/model/839/3523776/2/1/type4/asus_vivobook_max_a541ua_a541ua-gq1272t_4775888.jpg
Ноутбук Lenovo V130-15 (81HN00H3RA),от 11 424 грн. ,"Тип - Ноутбук
Тип процессора - Intel Core i3-6006U
Частота - 2 ГГц
Диагональ экрана - 15.6 дюйм.
Разрешение экрана - 1366x768 пикс.",https://price.ua/lenovo/lenovo_v130-15_81hn00h3ra/catc839t14m3712351.html,https://i3.price.ua/images/model/839/3712351/2/1/type4/lenovo_v130-15_81hn00h3ra_4945330.jpg
Ноутбук Dell Inspiron 3567 (I355410DIL-63B),от 13 682 грн. ,"Тип - Ноутбук
Тип процессора - 7200U
Частота - 2.5 ГГц
Диагональ экрана - 15.6 дюйм.
Разрешение экрана - 1920x1080 пикс.",https://price.ua/dell/dell_inspiron_3567_i355410dil-63b/catc839t14m3280947.html,https://i2.price.ua/images/model/839/3280947/2/1/type4/dell_inspiron_3567_i355410dil-63b_4408541.jpg
Ноутбук Lenovo ThinkPad E470 (20H1006MRT),от 16 677 грн. ,"Тип - Ноутбук
Тип процессора - Intel Core i5-7200U
Частота - 2.5 ГГц
Диагональ экрана - 14 дюйм.
Разрешение экрана - 1920x1080 пикс.",https://price.ua/lenovo/lenovo_thinkpad_e470_20h1006mrt/catc839t14m3132905.html,https://i2.price.ua/images/model/839/3132905/2/1/type4/lenovo_thinkpad_e470_20h1006mrt_4206911.jpg
Ноутбук Dell Inspiron 3168 (I11P4S1NIW-63R),13 099 грн. ,"Тип - Ультрабук
Тип процессора - Intel Pentium N3710
Частота - 1,6-2,56 ГГц
Диагональ экрана - 11.6 дюйм.
Разрешение экрана - 1366x768 пикс.",https://price.ua/main/gate.html?hash=YTo0OntzOjE6InUiO2E6OTp7czoxOiJ3IjtzOjI6IjIxIjtzOjE6InMiO2k6Mjg0O3M6MToiciI7aTowO3M6MToidCI7aTo0O3M6MToicCI7aTo0O3M6MToieSI7aT183a6c9890f2ae74e41bc6698bf814d3owO3M6MToibSI7aToyO3M6MToiZiI7aToyO3M6MToiZSI7aTo1O31zOjE6InkiO3M6MTA6IjQ5MzQ3MzUwODIiO3M6MToiYyI7aToxO3M6MzoiY2pzIjtpOjE7fQ%3D%3D,https:/images/preload.gif
Ноутбук ASUS VivoBook 15 X542UF-DM397 (90NB0IJ4-M05520),от 16 599 грн. ,"Тип - Ноутбук
Тип процессора - Intel Core i3-8130U
Частота - 2,2-3,4 ГГц
Диагональ экрана - 15.6 дюйм.
Разрешение экрана - 1920x1080 пикс.",https://price.ua/asus/asus_vivobook_15_x542uf-dm397_90nb0ij4-m05520/catc839t14m3705529.html,https:/images/preload.gif
Ноутбук ASUS VivoBook X751NA (X751NA-DS21Q),от 10 817 грн. ,"Тип - Ноутбук
Тип процессора - Intel Pentium N4200
Частота - 1,1 ГГц
Диагональ экрана - 17.3 дюйм.
Разрешение экрана - 1600x900 пикс.",https://price.ua/asus/asus_vivobook_x751na_x751na-ds21q/catc839t14m3387352.html,https:/images/preload.gif
Ноутбук Lenovo IdeaPad 330-15 (81DC00NLRA),от 11 499 грн. ,"Тип - Ноутбук
Тип процессора - Intel Pentium 4415U
Частота - 2,3 ГГц
Диагональ экрана - 15.6 дюйм.
Разрешение экрана - 1920x1080 пикс.",https://price.ua/lenovo/lenovo_ideapad_330-15_81dc00nlra/catc839t14m3712613.html,https:/images/preload.gif
Ноутбук Apple MacBook Air MD712,19 950 грн. ,"Тип - Ноутбук
Тип процессора - Intel Core i5-4260U
Диагональ экрана - 11.6 дюйм.
Разрешение экрана - 1366x768 пикс.
Вес - 1.08 кг",https://price.ua/main/gate.html?hash=YTo0OntzOjE6InUiO2E6OTp7czoxOiJ3IjtzOjI6IjIxIjtzOjE6InMiO2k6Mjg0O3M6MToiciI7aTowO3M6MToidCI7aTo0O3M6MToicCI7aTo0O3M6MToieSI7aTb2b2d263ef9eae2413442fefc87851deowO3M6MToibSI7aToyO3M6MToiZiI7aToyO3M6MToiZSI7aTo1O31zOjE6InkiO3M6MTA6IjQ5MDE4MDE3NDciO3M6MToiYyI7aToxO3M6MzoiY2pzIjtpOjE7fQ%3D%3D,https:/images/preload.gif
Ноутбук Dell Inspiron 3552 (I35P45DIW-60),10 631 грн. ,"Тип - Ноутбук
Тип процессора - Intel Pentium N3710
Частота - 1.6 ГГц
Диагональ экрана - 15.6 дюйм.
Разрешение экрана - 1366x768 пикс.",https://price.ua/main/gate.html?hash=YTo0OntzOjE6InUiO2E6OTp7czoxOiJ3IjtzOjI6IjIxIjtzOjE6InMiO2k6Mjg0O3M6MToiciI7aTowO3M6MToidCI7aTo0O3M6MToicCI7aTo0O3M6MToieSI7aTZDE3ZjUwMjJkMGQ3NTAxYjY0NDcxZmJmowO3M6MToibSI7aToyO3M6MToiZiI7aToyO3M6MToiZSI7aTo1O31zOjE6InkiO3M6MTA6IjQ4OTEwNDM3NDQiO3M6MToiYyI7aToxO3M6MzoiY2pzIjtpOjE7fQ%3D%3D,https:/images/preload.gif
Ноутбук Dell Inspiron 3576 (35Fi58H1R5M-LBK),от 16 427 грн. ,"Тип - Ноутбук
Тип процессора - Intel Core i5-8250U
Частота - 1,6-3,4 ГГц
Диагональ экрана - 15.6 дюйм.
Разрешение экрана - 1920x1080 пикс.",https://price.ua/dell/dell_inspiron_3576_35fi58h1r5m-lbk/catc839t14m3523918.html,https:/images/preload.gif
Ноутбук ASUS VivoBook X507MA-BR005 (90NB0HL2-M00320),10 089 грн. ,"Тип - Ноутбук
Тип процессора - N5000
Частота - 1.1 ГГц
Диагональ экрана - 15.6 дюйм.
Разрешение экрана - 1366x768 пикс.",https://price.ua/main/gate.html?hash=YTo0OntzOjE6InUiO2E6OTp7czoxOiJ3IjtzOjI6IjIxIjtzOjE6InMiO2k6Mjg0O3M6MToiciI7aTowO3M6MToidCI7aTo0O3M6MToicCI7aTo0O3M6MToieSI7aTb2b2d263ef9eae2413442fefc87851deowO3M6MToibSI7aToyO3M6MToiZiI7aToyO3M6MToiZSI7aTo1O31zOjE6InkiO3M6MTA6IjQ5Mzc5NjU5MjIiO3M6MToiYyI7aToxO3M6MzoiY2pzIjtpOjE7fQ%3D%3D,https:/images/preload.gif
Ноутбук Lenovo IdeaPad 320-15 (80XH00ECRA),от 13 577 грн. ,"Тип - Ноутбук
Тип процессора - 6006U
Частота - 2 ГГц
Диагональ экрана - 15.6 дюйм.
Разрешение экрана - 1920x1080 пикс.",https://price.ua/lenovo/lenovo_ideapad_320-15_80xh00ecra/catc839t14m3033156.html,https:/images/preload.gif
Ноутбук HP Pavilion x360 14-ba114dx (1KT49UA),17 675 грн. ,"Тип - Ноутбук
Тип процессора - Intel Core i5-8250U
Частота - 1,6 - 3,4 ГГц
Диагональ экрана - 14 дюйм.
Разрешение экрана - 1920x1080 пикс.",https://price.ua/main/gate.html?hash=YTo0OntzOjE6InUiO2E6OTp7czoxOiJ3IjtzOjI6IjIxIjtzOjE6InMiO2k6Mjg0O3M6MToiciI7aTowO3M6MToidCI7aTo0O3M6MToicCI7aTo0O3M6MToieSI7aT183a6c9890f2ae74e41bc6698bf814d3owO3M6MToibSI7aToyO3M6MToiZiI7aToyO3M6MToiZSI7aTo1O31zOjE6InkiO3M6MTA6IjQ5MzYwODkwNDUiO3M6MToiYyI7aToxO3M6MzoiY2pzIjtpOjE7fQ%3D%3D,https:/images/preload.gif
